Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
THURSFIELDS SOLICITORS,4,12,29,192,166,1,33,0,18,303,141,899
DURHAM COUNTY COUNCIL,1,0,2,21,1,0,1,0,6,833,32,897
GOSSCHALKS,5,15,3,157,66,4,19,0,13,506,106,894
HOWES PERCIVAL,10,25,26,189,57,0,46,0,20,408,112,893
FRASER DAWBARNS SOLICITORS,26,6,21,207,122,2,19,0,26,364,97,890
TSB BANK PLC MORT PROC & COMP,0,0,0,888,0,0,0,0,0,0,0,888
GCL LLP,0,19,8,130,56,3,25,0,68,471,107,887
GREEN WRIGHT CHALTON ANNIS,3,21,9,185,132,0,20,0,12,364,141,887
WAKE SMITH SOLICITORS LIMITED,9,10,20,148,124,1,32,0,46,352,143,885
NORTHERN POWERGRID HOLDINGS LIMITED,0,2,0,3,6,0,6,0,17,769,76,879
BARCLAYS BANK PLC,0,0,0,568,1,0,0,0,0,186,123,878
BRIDGE MCFARLAND SOLICITORS,7,4,21,186,119,0,35,0,13,394,95,874
Park Woodfine,7,10,38,165,85,2,93,0,3,364,107,874
BIRCHAM DYSON BELL LLP,8,9,3,104,30,27,16,0,9,515,151,872
WARNER GOODMAN LLP,7,12,9,197,143,1,16,7,7,357,113,869
RENIER GILLIES (T/A RG SOLICITORS),0,39,53,163,150,0,158,0,0,196,109,868
REED SMITH  LLP,0,7,0,42,21,1,13,0,6,591,185,866
NEVES SOLICITORS,4,12,24,161,96,0,35,0,2,382,146,862
CHILD SUPPORT AGENCY,0,0,0,107,0,0,0,0,0,752,2,861
THE SMITH PARTNERSHIP,9,6,25,208,174,1,53,0,12,283,89,860
COUTTS AND CO,0,0,0,26,0,0,0,0,0,758,74,858
RMNJ Solicitors,6,27,17,224,222,0,19,0,6,225,112,858
UK POWER NETWORKS (OPERATIONS) LTD,0,0,0,0,0,0,0,0,0,636,222,858
ONESAVINGS BANK PLC,0,0,0,241,0,0,0,0,0,614,2,857
SIMPSON MILLAR LLP,5,29,6,205,159,0,19,0,1,248,180,852
SLEE BLACKWELL,9,15,34,207,137,0,22,0,15,284,129,852
COMPTONS,0,44,0,145,59,1,33,0,4,430,134,850
Oliver & Co Solicitors Limited,6,114,15,184,120,0,158,0,2,172,79,850
CHATTERTONS (INC CHATTERTONS MCKINNELLS),12,10,36,216,101,0,41,0,29,304,95,844
KEY CONVEYANCING,2,26,73,133,140,0,214,0,0,158,94,840
KIDD RAPINET LLP,9,29,13,180,128,0,17,0,7,330,125,838
TILLY BAILEY & IRVINE,4,6,41,201,62,0,125,0,11,281,105,836
WEDLAKE BELL,4,17,3,145,17,0,19,0,11,502,117,835
Browns Solicitors,5,32,15,159,142,0,40,0,8,279,154,834
SOUTH WEST WATER LIMITED,0,0,1,16,0,0,2,0,0,796,19,834
HAYWARD MOON PROPERTY LAWYERS,4,9,8,213,197,0,22,0,10,249,121,833
NOTTINGHAM CITY COUNCIL,0,1,2,13,8,8,6,0,2,768,22,830
Attwells,6,14,17,150,161,0,19,0,4,282,176,829
NEW HOMES LAW,0,72,37,37,29,0,499,0,0,93,60,827
MANCHESTER CITY COUNCIL,2,1,0,21,5,0,0,0,15,712,70,826
THE ROMANS GROUP (UK) LIMITED%,0,0,0,0,0,0,0,0,0,824,0,824
DEAN WILSON LAING,3,20,6,138,60,0,11,0,8,421,155,822
G M WILSON,5,45,42,151,106,0,162,0,9,199,102,821
ROSS COATES (T/A HARMONY LAW AND UNITE SOLICITORS),2,14,17,121,188,0,39,0,2,291,147,821
BURGES SALMON LLP,6,12,6,85,35,4,17,0,10,545,97,817
AFFINITY SUTTON HOMES LTD,0,0,0,0,0,0,0,0,0,710,100,810
MARCUS BAUM,1,19,1,209,204,2,17,0,4,245,108,810
SOLOMON TAYLOR SHAW,11,28,34,115,56,0,4,0,6,431,121,806
MSB LAW LLP,8,51,10,123,110,0,91,0,22,306,84,805
SANCTUARY HOUSING ASSOCIATION,0,0,0,12,0,0,0,0,10,516,267,805
ELLIS JONES,2,23,4,153,144,2,15,0,9,325,126,803
JOHN D WOOD & CO,0,0,0,0,0,0,0,0,0,772,31,803
RAWLINSON & HUNTER,0,0,0,0,0,0,0,0,0,726,77,803
WITHERS LLP,3,15,3,98,33,0,12,0,10,491,137,802
Foskett Marr Gadsby & Head,6,19,25,132,77,0,37,0,37,356,111,800
CHILD AND CHILD LIMITED,0,40,5,184,95,0,47,0,9,325,93,798
NALDERS SOLICITORS,11,17,37,199,109,0,37,0,17,250,121,798
ACENDEN LIMITED,0,0,0,787,0,0,0,0,0,3,7,797
HERRINGTON & CARMICHAEL LLP,3,39,57,127,52,4,186,0,7,243,79,797
FARRER & CO,3,16,5,115,44,0,11,0,14,457,131,796
ROBINSON WAY LIMITED,0,0,0,0,0,0,0,0,0,793,0,793
ELLIOT MATHER LLP,10,10,40,191,128,0,91,0,10,213,99,792
1ST CREDIT LTD,0,0,0,42,0,0,0,0,0,747,0,789
THINK LOANS & MORTGAGES LTD,0,0,0,0,0,2,0,0,0,772,11,785
BARCLAYS BANK PLC,0,0,0,194,6,0,0,0,0,484,100,784
Battens Solicitors Limited,16,19,13,157,90,0,31,0,10,323,123,782
PHILIP ROSS & CO,1,37,1,235,73,0,14,0,5,300,115,781
SHAWBROOK ASSET FINANCE T/A,0,0,0,0,0,0,0,0,0,781,0,781
LANGLEY WELLINGTON,9,13,42,157,93,0,93,0,12,238,120,777
PRINCIPALITY BUILDING SOCIETY,0,0,0,749,0,0,0,0,0,17,8,774
STEPHENSON HARWOOD,1,22,0,65,48,1,0,0,7,574,55,773
BARRATT DEVELOPMENTS PLC,0,0,0,0,0,0,0,0,0,686,83,769
CARTER JONAS SERVICE COMPANY,0,0,0,0,0,0,0,0,0,700,69,769
THE WILKES PARTNERSHIP,4,10,2,116,56,2,12,0,21,434,107,764
HOME GROUP LIMITED,0,0,2,3,0,0,7,0,0,558,193,763
LEVI SOLICITORS LLP,7,4,21,172,115,1,60,0,6,252,125,763
FUNDING CIRCLE,0,0,0,10,2,0,0,0,0,750,0,762
TAYLORS LEGAL,0,34,51,57,39,0,458,0,0,93,30,762
INSOLVENCY SERVICE (THE),0,0,0,428,0,0,0,0,0,310,20,758
ELLIS FERMOR & NEGUS,8,7,25,198,132,2,16,0,6,270,91,755
ALLEN & OVERY LLP,0,0,5,106,138,28,1,0,2,393,80,753
NEWTONS SOLICITORS LTD,11,13,11,178,116,0,39,0,12,279,93,752
BLACKHURST BUDD LIMITED,8,8,3,205,135,0,23,0,10,275,82,749
COLES MILLER SOLICITORS LLP,4,27,2,141,81,0,15,0,2,365,112,749
THE RINGROSE LAW GROUP,9,6,9,165,163,0,37,0,10,234,116,749
GISBY HARRISON,2,6,5,117,58,0,8,0,7,408,136,747
DOWNS SOLICITORS LLP,1,11,5,131,75,0,8,0,4,396,115,746
WILSONS SOLICITORS (LEEDS),13,11,4,97,81,0,0,0,3,334,202,745
HOMELOAN MANAGEMENT LIMITED,0,0,0,717,2,0,0,0,0,13,12,744
Taylor Wessing LLP,0,20,2,105,39,2,10,0,9,446,111,744
FOYS SOLICITORS,12,4,16,171,123,0,25,0,7,277,108,743
HEGARTY LLP,3,21,78,134,68,1,143,0,15,194,86,743
FBC Manby Bowdler LLP,13,26,19,125,96,0,10,0,9,387,55,740
DICKINSON WOOD,3,16,38,140,126,0,71,0,7,243,95,739
HUMPHRIES KIRK LLP,13,19,6,142,80,0,21,0,16,348,94,739
BARCAN & KIRBY LLP,10,42,15,168,121,0,22,0,5,255,100,738
JUDGE & PRIESTLEY,0,11,4,78,44,0,9,0,3,449,139,737
NETWORK RAIL,0,0,0,0,0,1,0,0,0,582,151,734
STONE KING LLP,16,17,1,92,44,1,23,0,9,395,135,733
JONES LANG LASELLE LIMITED,0,0,0,0,0,0,0,0,0,611,119,730
FREERS ASKEW BUNTING SOLS LTD,4,7,15,209,151,0,19,0,5,223,95,728
Gardner Leader,4,17,11,149,91,0,30,0,2,282,141,727
LANYON BOWDLER,21,3,9,145,76,0,11,0,33,339,87,724
LOANS WAREHOUSE LTD,0,0,0,0,0,0,0,0,0,712,11,723
Thomas Flavell & Sons,6,17,25,173,109,0,17,0,6,268,102,723
YVA SOLICITORS LLP,0,35,4,130,93,0,18,0,2,317,121,720
Lawcomm Solicitors,0,18,18,111,121,0,87,0,4,248,110,717
RIGHT CHOICE CONVEYANCING LIMITED,4,14,20,135,144,1,71,0,2,196,130,717
Forster Dean Ltd,10,9,9,187,199,0,36,0,13,171,82,716
ORBIT GROUP LIMITED,0,0,0,0,0,0,0,0,0,412,304,716
ASHURST LLP,1,13,4,55,22,0,15,0,14,446,145,715
Awdry Bailey & Douglas,9,19,21,156,108,0,23,0,7,247,121,711
STEPHEN RIMMER LLP,2,17,8,165,107,0,18,0,4,291,99,711
Mincoffs Solicitors LLP,2,13,5,124,84,0,13,0,10,309,150,710
HIBBERTS LLP,14,14,16,156,107,0,17,0,13,273,96,706
BLB,5,24,25,141,95,1,34,0,7,264,109,705
ROTHERA SHARP,8,6,4,171,98,1,21,0,11,285,98,703
FLINT BISHOP SOLICITORS,8,12,9,126,94,0,17,0,13,309,114,702
TEACHER STERN LLP,2,10,0,99,33,0,6,0,5,389,158,702
HAY & KILNER,5,7,13,106,87,0,13,0,6,353,111,701
HAROLD BENJAMIN,2,17,3,131,73,0,23,0,30,312,109,700
Tollers LLP,10,8,10,159,118,0,30,0,24,233,104,696
Wilson Browne,10,18,19,175,83,1,42,0,17,243,84,692
