Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
HOWARD FITTON,1,1,1,12,2,0,0,0,0,21,10,48
HYLAND FITZWATER LIMITED,0,0,1,8,4,0,1,0,0,23,11,48
JAMES O'NEILL,0,3,2,12,11,0,0,0,0,17,3,48
KNIGHTS SOLICITORS (TUNBRIDGE WELLS),1,0,1,11,3,0,1,0,1,21,9,48
LAW & ADVOCACY SOLICITORS,0,2,0,8,4,0,0,0,0,25,9,48
LINKLAW SOLICITORS,0,1,0,12,7,0,2,0,0,22,4,48
LONDON BOROUGH OF LEWISHAM,0,0,0,0,0,0,0,0,0,48,0,48
LYNNE THORNTON,1,0,0,7,2,0,1,0,0,29,8,48
MICHAEL CONN GOLDSOBEL SOLICITORS,0,1,0,8,3,0,3,0,2,21,10,48
MIDLAND PROPERTY LAWYERS,0,0,1,27,2,0,0,0,0,15,3,48
MORTIMERS,0,1,0,16,6,0,2,0,1,16,6,48
MYLAKO LIMITED,0,0,0,0,0,0,0,0,0,41,7,48
NATURAL RESOURCES WALES,0,0,0,0,0,0,0,0,0,44,4,48
NEWLAND SOLICITORS,2,2,0,17,11,0,0,0,0,12,4,48
NORTH STAR LAW LIMITED,0,0,0,4,1,0,0,0,1,31,11,48
NORTH WARWICKSHIRE BOROUGH COUNCIL,0,0,0,0,0,2,0,0,0,46,0,48
PARKLANDS PROPERTY LAWYERS LIMITED,0,1,0,9,20,0,0,0,1,10,7,48
PEACOCK & CO,0,1,2,31,1,0,2,0,0,9,2,48
PETER JAMES ESTATES LTD,0,0,0,0,0,0,0,0,0,48,0,48
PHILLIPS & PHILLIPS,0,2,0,14,8,0,0,0,0,21,3,48
POOLEYS SOLICITORS LLP,2,0,2,15,1,0,3,0,1,18,6,48
RICH AND CARR LIMITED,1,0,0,10,9,0,0,0,0,23,5,48
SANDERS WITHERSPOON LLP,0,2,0,10,5,0,2,0,1,21,7,48
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,39,9,48
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,48,0,48
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,48,0,48
SCOTT WALBY LLP,0,2,1,8,4,0,4,0,0,19,10,48
SHAKESPEARE MARTINEAU LLP (8627568),0,0,0,0,0,0,0,0,3,45,0,48
SHELL INTERNATIONAL,0,0,1,5,0,0,0,0,1,39,2,48
SPARROW & TRIEU,0,1,0,7,11,0,1,0,0,22,6,48
STRAIN KEVILLE,0,1,1,3,0,0,0,0,0,29,14,48
SVENSKA HANDELSBANKEN AB (PUBL),0,0,0,0,0,0,0,0,0,48,0,48
WALES & WEST HOUSING ASSN LTD,0,1,0,7,3,0,0,0,0,26,11,48
WEST LANCASHIRE BOROUGH COUNCIL,0,0,0,0,0,0,0,0,0,47,1,48
ALISTAIR KEEBLE,2,0,0,7,6,0,0,0,1,25,6,47
ALLENS CADGE & GILBERT LIMITED,1,0,0,15,1,0,1,0,3,21,5,47
ALLIED SOLICITORS,0,1,0,8,6,0,0,0,0,24,8,47
ARCHDEACON RUSSELL & CO,0,0,1,16,7,0,0,0,0,21,2,47
ATHENA SOLICITORS LLP,2,0,0,14,3,0,0,0,1,20,7,47
BESTWAY NATIONAL CHEMISTS LIMITED,0,0,0,33,0,0,0,0,0,14,0,47
BHOGAL PARTNERS,0,0,1,9,6,0,3,0,0,26,2,47
CARMARTHENSHIRE COUNTY COUNCIL,0,0,0,0,0,0,0,0,0,32,15,47
CGT LETTINGS LIMITED,0,0,0,0,0,0,0,0,0,47,0,47
CHISHOLMS,0,1,5,7,13,0,1,0,1,16,3,47
CHURCHERS SOLICITORS,0,0,0,5,9,0,1,0,5,21,6,47
CVS LAW LTD,0,0,1,4,4,0,1,0,0,28,9,47
D R JAMES & SON,2,0,1,10,3,0,0,0,0,23,8,47
DAKERS MARRIOTT SOLICITORS,0,1,0,11,6,0,1,0,0,22,6,47
ENVIRONMENT AGENCY,0,0,0,0,0,0,0,0,0,45,2,47
G SPILSBURY & CO,2,0,1,14,11,0,0,0,0,12,7,47
GEORGE DURRANT AND SONS LIMITED,0,0,0,0,0,0,0,0,0,42,5,47
GILL SQUIRE T/A GCS PROPERTY SOLICITORS,0,0,0,5,4,0,1,0,0,24,13,47
HALLS HOLDINGS LIMITED,0,0,0,0,0,0,0,0,1,46,0,47
HODKIN PD TRADING AS HODKIN & CO,0,0,1,8,1,0,1,0,1,25,10,47
IMM PROPERTIES LTD,0,0,0,0,0,0,0,0,0,39,8,47
JANSON SOLICITORS,0,0,0,16,2,0,0,0,0,28,1,47
JAYCON LEGAL SOLICITORS,0,0,0,8,4,0,0,0,0,26,9,47
JC WHITE GEOMATICS LIMITED,0,0,0,0,0,0,0,0,0,27,20,47
JONES PARTNERSHIP,1,1,0,6,5,0,2,0,2,22,8,47
LEICESTER HOUSING ASSOCIATION LTD,0,0,0,0,0,0,0,0,0,34,13,47
MANAGING ESTATES LIMITED,0,0,0,0,0,0,0,0,0,33,14,47
MCTEAR WILLIAMS & WOOD LTD,0,0,0,1,0,0,0,0,0,46,0,47
MERRILS EDE,0,4,0,11,5,0,1,0,0,23,3,47
MRS CHANDRA SOMASUNTHARAM,0,3,0,10,9,0,4,0,0,20,1,47
OATES HANSON,0,0,0,7,7,0,0,0,1,28,4,47
POTHECARY WITHAM WELD,2,0,4,11,0,0,0,0,0,26,4,47
PRICE PARTNERSHIP,0,0,0,0,0,0,0,0,0,43,4,47
ROBERT HITCHINS LTD,0,0,1,2,1,0,0,0,1,38,4,47
ROBERT SIMON & CO,0,3,1,7,4,0,0,0,0,27,5,47
ROBINSON RAVANI AND CO SOLICITORS,0,0,0,0,7,0,0,0,0,29,11,47
S J SOLICITORS,1,3,0,7,8,0,0,0,0,21,7,47
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,47,0,47
SPRING4 LTD,0,0,0,0,0,0,0,0,0,31,16,47
STRATEGIC ENERGY LTD,0,0,0,0,0,0,0,0,0,32,15,47
SWORDERS AGRICULTURAL,0,0,0,0,0,0,0,0,0,47,0,47
TAYLOR BROWN SOLICITORS,2,1,4,10,8,0,1,0,1,13,7,47
THE GIRL'S DAY SCHOOL TRUST,0,0,0,4,0,0,0,0,0,33,10,47
UK POWER NETWORKS (OPERATIONS) LTD,0,0,0,0,0,0,0,0,0,47,0,47
VERBATIM PROPERTY LAWYERS,0,1,0,6,5,0,3,0,0,23,9,47
VICKERS & CO,1,2,0,15,6,0,0,0,0,21,2,47
WATSON WOODS PARTNERSHIP,0,0,0,0,0,0,0,0,0,47,0,47
WINDLES SOLICITORS LIMITED,0,0,0,2,3,0,0,0,10,21,11,47
ADACTUS HOUSING ASSOCIATION LIMITED,0,0,0,0,0,0,0,0,0,40,6,46
BARRETT & ASSOCIATES,2,1,0,13,7,0,1,0,0,13,9,46
BRYAN O'CONNOR & CO,0,5,0,6,5,0,1,0,0,22,7,46
CAERPHILLY COUNTY BOROUGH COUNCIL,0,0,0,18,1,0,0,0,0,18,9,46
CHEFFINS,0,0,0,0,0,0,0,0,0,46,0,46
CLEAR & LANE,0,0,0,0,0,0,0,0,0,46,0,46
CVS (COMM VALUERS & SURVEYORS) LTD,0,0,0,0,0,0,0,0,0,7,39,46
DDO SOLICITORS,0,1,1,13,4,0,2,0,0,18,7,46
E A HARRIS & CO,0,0,1,12,3,0,0,0,3,16,11,46
ELITERANK LTD,0,0,0,0,0,0,0,0,0,46,0,46
EQUITY SOLICITORS,0,2,0,4,11,0,0,0,0,24,5,46
EVANS POWELL & CO,0,0,1,5,5,0,1,0,2,26,6,46
FORTE FREEHOLD MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,42,4,46
GARSIDE AND HOY SOLICITORS,0,4,0,8,4,0,0,0,0,21,9,46
GEORGE F WHITE LLP,0,0,0,0,0,0,0,0,0,31,15,46
GREATER LONDON SOLICITORS,0,3,0,9,7,1,1,0,0,21,4,46
GREATWOOD PROPERTY MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,17,29,46
HOWARD HYMAN & CO,0,1,0,10,1,0,1,0,0,22,11,46
HUNTER PEDDELL PROPERTY LAW,0,1,0,5,2,0,4,0,0,26,8,46
JOHN BROMFIELD & COMPANY LIMITED,2,0,0,9,4,0,1,0,0,20,10,46
JOHN KENT SOLICITORS,0,1,0,17,0,0,0,0,0,22,6,46
K PROPERTY LTD,0,0,0,0,0,0,0,0,0,46,0,46
KING & SPALDING (K&S LAW),0,5,0,5,2,0,0,0,0,33,1,46
LARKING GOWEN,0,0,0,0,0,0,0,0,0,46,0,46
LB EALING REVENUES IMPREST ACCOUNT,0,0,0,0,0,0,0,0,0,46,0,46
LEE & COMPANY,0,0,1,7,6,0,0,0,0,21,11,46
LONDON BOROUGH OF HAVERING,0,0,0,0,0,0,0,0,0,44,2,46
M L ROSE & CO,1,1,1,18,10,0,2,0,0,7,6,46
MARSHBOROUGH PROPERTIES LIMITED,0,0,0,0,0,0,0,0,0,40,6,46
MICHAEL LEWIN SOLICITORS LIMITED,0,0,1,7,8,0,0,0,0,19,11,46
MILTON FRANCIS & HUGHES,2,0,1,10,7,0,0,0,1,22,3,46
MKV LEGAL SOLICITORS,0,1,0,12,16,0,2,0,0,12,3,46
MOHABIRS,0,5,0,13,9,0,0,0,0,12,7,46
MORELAND & COMPANY SOLICITORS,0,1,1,11,9,0,0,0,0,22,2,46
MORRIS & COMPANY LTD,0,0,0,0,0,0,0,0,0,41,5,46
PALMERS (KINGSTON UPON THAMES),0,4,0,7,0,0,0,0,0,29,6,46
PARADIGM SOLICITORS LLP,0,2,1,9,4,0,1,0,0,27,2,46
PEABODY TRUST,0,0,0,0,0,0,0,0,0,43,3,46
PRAKTICE LEGAL,0,0,0,15,4,0,0,0,0,24,3,46
PRO VISAS & IMMIGRATION SOLICITORS,0,0,0,16,9,0,0,0,0,12,9,46
REXTON LAW,0,1,0,17,7,0,2,0,0,15,4,46
ROBERT STERLING SURVEYORS LLP%,0,0,0,0,0,0,0,0,0,37,9,46
ROSENBLATT SOLICITORS,0,0,0,5,2,0,0,0,1,25,13,46
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,41,5,46
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,46,0,46
STEPHENS & SONS,0,3,1,6,7,0,1,0,0,24,4,46
THIRD SECTOR PROPERTY,0,0,0,0,0,0,0,0,0,46,0,46
TRENT & DOVE HOUSING LTD,0,0,1,1,0,0,0,0,0,35,9,46
VELINDRE NHS TRUST,0,1,0,6,0,0,0,0,0,35,4,46
WATERS & CO,0,0,1,8,4,0,2,0,1,16,14,46
WHITE AND SONS,0,0,0,0,0,0,0,0,0,36,10,46
YES FINANCIAL SERVICES LIMITED,0,0,0,0,0,0,0,0,0,46,0,46
ABBEY SOLICITORS,0,0,1,8,1,0,0,0,0,33,2,45
ADRIAN STABLES SOLICITORS,1,0,1,12,5,0,2,0,2,16,6,45
ALETTA SHAW LLP,0,5,3,8,9,0,2,0,0,14,4,45
ANDREW J FENNY & CO,0,1,7,10,7,0,0,0,1,19,0,45
AUSTIN & CARNLEY,1,2,0,17,6,0,7,0,0,9,3,45
AUSTIN REES LIMITED,0,0,0,0,0,0,0,0,0,27,18,45
BEADLE PITT & GOSSCHALK,0,2,0,8,5,0,1,0,1,21,7,45
BENSON WATKINS,1,0,1,8,0,0,0,0,1,29,5,45
CARTMELL & CO LIMITED,1,1,1,15,5,0,1,0,0,15,6,45
DATUM BUILDING CONSULTANCY LTD,0,0,0,0,0,0,0,0,0,27,18,45
DAVID RUBIN & PARTNERS LTD,0,0,0,0,0,0,0,0,0,44,1,45
GARY JONES SOLICITORS,1,0,0,4,5,0,1,0,2,24,8,45
GLADSTONE SOLICITORS (NOTTINGHAM),1,1,0,10,4,0,5,0,0,17,7,45
GRIFFINS,0,0,0,3,0,0,0,0,1,32,9,45
HEY BENDALL ROBERTS,2,2,3,21,2,0,3,0,3,5,4,45
HOLLAND & BARRETT RETAIL LIMITED,0,6,0,4,3,0,8,0,0,24,0,45
IAN MILNE & CO,0,0,1,1,5,0,3,0,1,22,12,45
JOE EGAN SOLICITORS LTD,0,0,1,3,2,0,1,0,0,28,10,45
LEATHEMS SOLICITORS,2,1,0,8,6,0,0,0,0,22,6,45
LINGS,0,1,0,4,4,0,0,0,0,27,9,45
LIVIN HOUSING LIMITED,0,0,0,0,0,0,0,0,0,35,10,45
LONDON BOROUGH OF LEWISHAM,0,0,0,6,1,0,0,0,0,35,3,45
MCCARTHY & STONE,0,0,0,0,0,0,0,0,0,45,0,45
MELTON MOWBRAY BUILDING SOCIETY,0,0,0,42,0,0,0,0,0,3,0,45
MORGAN HAS SOLICITORS,1,3,1,10,8,0,0,0,0,16,6,45
MYERS FLETCHER & GORDON,0,2,0,9,3,0,2,0,0,23,6,45
NELSON MCLEAN LIMITED,0,2,0,16,12,0,3,0,0,8,4,45
QUOTIENT LAND LTD,0,0,0,0,0,0,0,0,0,42,3,45
RAE NEMAZEE LLP,0,1,0,6,3,0,0,0,0,27,8,45
RASIAH & CO SOLICITORS,1,4,0,3,8,0,2,0,1,22,4,45
RBC TRUST CO. (INTERNATIONAL) LTD,0,0,0,0,0,0,0,0,0,45,0,45
REDFERN & CO,0,0,0,7,7,0,10,0,2,14,5,45
ROSEMARY SMITH & CO,0,0,0,10,8,0,0,0,0,16,11,45
RUSSELL WORTH LIMITED,0,0,0,0,0,0,0,0,0,45,0,45
SKILLCROWN HOMES LTD,0,0,0,0,0,0,0,0,0,45,0,45
STAFFORDSHIRE MOORLANDS D C,0,0,0,1,0,0,0,0,0,44,0,45
STRATFORD-ON-AVON DISTRICT COUNCIL,0,0,0,6,0,0,0,0,0,37,2,45
THE LAW HOUSE SOLICITORS,0,0,0,8,2,0,2,0,0,26,7,45
THE LAW SOCIETY,0,0,0,0,0,0,0,0,0,39,6,45
THRIFT ENERGY LIMITED,0,0,0,0,0,0,0,0,0,45,0,45
WOODFORD WISE SOLICITORS,0,0,0,6,8,0,2,0,0,27,2,45
WOOLLEY & WALLIS,0,0,0,0,0,0,0,0,0,41,4,45
ANDREWS MARTIN,0,1,0,6,9,0,0,0,0,24,4,44
ANN POINTER,1,0,1,8,3,0,1,0,0,22,8,44
BRENDONS LLP,0,0,0,0,0,0,0,0,0,35,9,44
BURRELL JENKINS,1,0,0,5,6,0,1,0,1,22,8,44
BURROUGHS DAY,5,6,2,5,6,0,1,0,0,13,6,44
CITY OF WESTMINSTER COUNCIL,0,0,0,0,0,0,0,0,0,41,3,44
CVR GLOBAL LLP,0,0,0,7,0,0,0,0,0,36,1,44
ETTINGER & VICKERS,1,0,0,16,4,0,0,0,1,13,9,44
GVA GRIMLEY LTD,0,0,0,0,0,0,0,0,0,42,2,44
HALL AND BIRTLES LIMITED,0,1,0,15,9,0,1,0,0,16,2,44
HANLEY ECONOMIC BUILDING SOCIETY,0,0,0,44,0,0,0,0,0,0,0,44
KEMSLEY LLP,0,0,0,0,0,0,0,0,0,42,2,44
KINGSTON PROPERTY SERVICES LTD,0,0,0,0,0,0,0,0,0,31,13,44
LB PROPERTY LAWYERS,0,4,2,7,5,0,0,0,0,22,4,44
LEWIS GOLDEN LLP,0,0,0,0,0,0,0,0,0,44,0,44
MAYA SOLICITORS,0,2,0,6,10,0,0,0,0,23,3,44
MELIA & MUMFORD,0,1,4,5,11,0,1,0,0,12,10,44
MICHAEL SMITH & CO,0,0,2,26,0,0,1,0,0,12,3,44
NUNEATON & BEDWORTH BOROUGH COUNCIL,0,1,0,5,2,0,0,0,1,31,4,44
PASCALIDES & CO,0,0,1,3,7,0,0,0,0,28,5,44
RCA REGENERATION LIMITED,0,0,0,0,0,0,0,0,0,32,12,44
ROSEBLADE & CO,0,0,0,3,9,0,0,0,2,28,2,44
RUTLAND DISTRICT COUNCIL,0,0,0,0,0,0,0,0,0,44,0,44
SAUL MARINE & CO,0,2,0,7,5,0,0,0,0,20,10,44
SHIRLEY FRETWELL,0,0,0,11,3,1,1,0,1,21,6,44
SOUTH KESTEVEN DISTRICT COUNCIL,0,0,0,0,0,0,0,0,0,44,0,44
STRUTT & PARKER LLP,0,0,0,0,0,0,0,0,0,44,0,44
VALE OF WHITE HORSE D C,0,0,0,0,0,0,0,0,0,42,2,44
WILSON BRAMWELL LTD,0,0,0,7,7,0,0,0,0,23,7,44
WINBOURNE MARTIN FRENCH LIMITED,0,0,0,0,0,0,0,0,0,3,41,44
ZGRP LIMITED,0,0,0,9,7,0,0,0,0,22,6,44
A KAY PIETRON & PALUCH,0,0,0,6,6,0,0,0,0,25,6,43
ABOUDI BRADLEY & CO,0,0,0,10,7,0,0,0,0,16,10,43
ARAVINDAS,0,0,1,4,4,0,0,0,0,28,6,43
ASHWELLS LAW LLP,1,0,1,8,17,0,1,0,0,11,4,43
ATKINS HOPE LLP,0,0,0,12,10,0,1,0,0,12,8,43
BARROW BOROUGH COUNCIL,0,0,0,3,0,0,0,0,1,39,0,43
BERKELEY STRATEGIC LAND LIMITED,0,0,0,0,0,0,0,0,0,43,0,43
BL CONVEY LIMITED,0,0,0,8,8,0,1,0,0,18,8,43
BUKHARI & CO,0,1,0,6,6,0,0,0,1,28,1,43
CALA HOMES (MIDLANDS) LTD,0,0,0,0,0,0,0,0,0,43,0,43
CARTER DEVILLE,0,0,0,4,4,0,0,0,0,30,5,43
CASTLE'S SOLICITORS,0,0,0,15,5,0,0,0,0,18,5,43
CHROMA DEVELOPMENTS LIMITED,0,0,0,0,0,0,0,0,0,31,12,43
CLAUS WALKER & PARTNERS LIMITED,0,0,0,6,9,0,0,0,0,15,13,43
COTTAMS SOLICITORS LIMITED,0,1,0,14,4,0,0,0,0,22,2,43
CROYDON COUNCIL,0,0,0,1,0,0,0,0,0,33,9,43
CVS (UK) LIMITED,0,3,0,8,3,0,3,0,0,23,3,43
DIRECT CONVEYANCERS LIMITED,0,0,0,0,0,0,0,0,0,32,11,43
DLG LEGAL SERVICES LIMITED,0,0,0,0,0,0,0,0,0,31,12,43
DOLMANS,0,0,0,5,3,0,0,0,1,26,8,43
DPM LEGAL SERVICES LIMITED,0,2,2,6,6,0,1,0,0,22,4,43
EDRIDGES & DRUMMONDS,0,1,0,14,6,0,1,0,3,12,6,43
EPPING FOREST DISTRICT COUNCIL,0,0,0,0,0,0,0,0,0,43,0,43
EVANS & JONES SOLICITORS LLP,2,0,2,26,0,0,0,0,0,4,9,43
FUTURE LEGAL SERVICES LTD,0,0,0,0,0,0,0,0,0,43,0,43
GBH LAW LIMITED,0,0,0,9,2,0,2,0,3,21,6,43
GIBBONS SMITH PROPERTY LAWYERS,0,2,1,12,9,0,1,0,0,8,10,43
GILLIAN PIRIE T/A CHELMER CONVEYANCING SERVICES,0,3,0,9,3,0,0,0,0,16,12,43
GOODMAN KING,0,0,0,11,6,0,0,0,0,15,11,43
GREAT YARMOUTH BOROUGH COUNCIL,0,0,0,0,0,0,0,0,0,43,0,43
HAMMOND BALE LLP,0,0,0,1,2,0,0,0,2,25,13,43
HARDINGTON HOGG,1,2,0,10,4,0,0,0,0,18,8,43
HARPER & ODELL,0,2,1,10,11,0,1,0,0,13,5,43
HODGE JONES & ALLEN LLP,0,0,0,5,0,0,0,0,0,34,4,43
HUGHES & COMPANY,2,0,2,10,1,0,0,0,0,17,11,43
IAN HENERY SOLICITORS LIMITED,1,4,1,15,3,0,2,0,0,15,2,43
IAN HOLDSWORTH CHARTERED SURVEYORS,0,0,0,0,0,0,0,0,0,35,8,43
JC SOLICITORS LTD,1,0,0,10,5,0,0,0,1,20,6,43
JOHN BOYLE & CO,2,0,2,10,11,0,0,0,1,14,3,43
K BOSWELL & COMPANY,0,0,3,8,12,0,0,0,0,12,8,43
LEGAL SOLUTIONS ADVS AND SOLRS,0,2,0,7,3,0,0,0,0,20,11,43
MANN JENKINS,2,1,1,14,7,0,2,0,0,13,3,43
METCALFE JOHNSTON MCCORMICK,0,0,1,9,2,0,1,0,3,22,5,43
MIDLAND VALUATIONS LIMITED,0,0,0,0,0,0,0,0,0,43,0,43
MORTON PUGH WELCH,0,1,0,13,3,0,5,0,2,14,5,43
PEER GROUP PLC,0,0,0,16,1,0,0,0,0,26,0,43
PRA GROUP (UK)( LIMITED,0,0,0,0,0,0,0,0,0,43,0,43
PREMIER BLOCK MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,31,12,43
PROVIDENT FINANCIAL MGMT SRVS LTD,0,0,0,0,0,0,1,0,0,38,4,43
R T P WILLIAMS LTD,1,1,0,7,0,0,2,0,2,26,4,43
REALTY MANAGEMENT LIMITED,0,0,0,0,0,0,0,0,0,29,14,43
RHONDDA CYNON TAFF CBC,0,0,0,0,0,0,0,0,0,43,0,43
RICHARD KANANI & CO,0,3,0,11,5,0,1,0,0,18,5,43
ROSEMARY HANDLEY PROPERTY LAWYER,0,0,0,9,4,0,0,0,0,22,8,43
SAVILLS (UK) LIMITED,0,0,0,0,0,0,0,0,0,43,0,43
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,39,4,43
SAVILLS (UK) LTD,0,0,0,0,0,0,0,0,0,43,0,43
SHALENA PAULINE SITTON T/A SITTONS SOLS,0,1,0,9,2,0,0,0,0,19,12,43
SHARPE & PERL,0,2,0,16,5,0,0,0,0,15,5,43
SIMON MILLER & COMPNY LETTINGS LTD,0,0,0,0,0,0,0,0,0,43,0,43
SPELTHORNE BOROUGH COUNCIL,0,0,0,5,0,0,0,0,0,36,2,43
STANLEY HAYS,0,0,1,11,6,0,0,0,0,20,5,43
T J BALL & CO,0,0,1,12,9,0,0,0,0,16,5,43
TIMOTHY KENCH & CO,0,0,0,10,4,0,0,0,0,20,9,43
VERITAS LAW,0,0,0,8,3,0,1,0,0,24,7,43
WDS ASSOCIATES LEGAL SERVICES LTD,0,0,0,10,0,0,0,0,0,33,0,43
WEST LONDON SOLICITORS LIMITED,0,0,0,14,5,0,0,0,0,17,7,43
WRIGHT JOHNSTON & MACKENZIE,0,1,0,5,2,0,3,0,0,25,7,43
AQUILA DEVELOPMENTS,0,0,0,0,1,0,0,0,0,39,2,42
ASAMA JAVED T/A REISS SOLICITORS,0,0,1,13,10,0,0,0,0,15,3,42
BENTLEY PUGH & ASSOCIATES LTD,0,0,0,0,0,0,0,0,0,42,0,42
BIRKETT GREEN LEES LLP,0,0,0,0,0,0,0,0,0,4,38,42
BW LEGAL SERVICES LIMITED (T/A BW LEGAL),0,0,0,31,0,0,0,0,0,9,2,42
CHARNWOOD BOROUGH COUNCIL,1,0,1,2,0,0,0,0,0,37,1,42
COLVIN & PARTNERS,0,4,0,8,6,0,0,0,0,16,8,42
DAVID SANDERS & CO,0,0,2,12,13,0,2,0,0,10,3,42
DELOITTE LLP,0,0,0,0,0,0,0,0,0,24,18,42
DOWNIE & GADBAN,0,1,1,8,5,0,2,0,0,13,12,42
ERACLEOUS AND MCKENNA LLP,0,3,0,10,4,0,4,0,0,16,5,42
EVANS & DAVIES,5,1,1,8,5,0,1,0,0,20,1,42
EVERSMART LTD,0,0,0,0,0,0,0,0,0,42,0,42
FITZPATRICK & CO SOLICITORS,0,1,0,8,4,0,1,0,0,18,10,42
FRANK BRAZELL & PARTNERS LIMITED,0,1,0,7,2,0,1,0,0,22,9,42
GARDNER & SCARDIFIELD LTD,0,0,0,0,0,0,0,0,0,42,0,42
HALLOWS ASSOCIATES,0,0,0,10,8,0,0,0,0,20,4,42
HARDINGS SOLICITORS LTD,0,0,1,13,7,0,2,0,3,13,3,42
HARDMAN WOOD,2,0,0,5,13,0,0,0,0,18,4,42
HUGHES PARRY LIMITED,0,1,1,6,5,0,1,0,1,21,6,42
JAMES COWPER LLP,0,0,0,0,0,0,0,0,0,42,0,42
JOHN BIRKBY & CO,0,0,0,4,5,0,0,0,0,24,9,42
JOHNS & SAGGAR,0,2,0,8,3,0,3,0,0,23,3,42
JULIE WEST SOLICITOR,0,0,1,4,3,0,0,0,0,29,5,42
KEOGH CAISLEY,0,1,2,21,0,0,0,0,1,14,3,42
KMA SOLICITORS,1,1,1,4,4,0,0,0,9,11,11,42
LE GROS SOLICITORS LLP,1,3,4,14,3,0,1,0,0,14,2,42
LINDA S RUSSELL SOLS & PLNG CNSLTS,0,0,0,0,0,0,0,0,1,39,2,42
LLOYD EVANS LLP,0,2,2,11,4,0,0,0,0,14,9,42
MAPLETOFT & CO SOLS,0,7,1,8,7,0,0,0,1,13,5,42
MAYLAND PORTER SOLICITORS,0,0,0,3,8,0,2,0,1,17,11,42
MCCORMICKS SOLICITORS,2,0,1,10,6,0,1,0,0,13,9,42
MG LEGAL SOLUTIONS,2,1,1,7,7,0,2,0,1,16,5,42
MILES & CASH SOLICITORS,0,0,0,8,2,0,0,0,1,25,6,42
PENNINE SOLICITORS,0,0,1,8,11,0,0,0,0,21,1,42
POWIS & CO,0,0,0,11,5,0,0,0,1,22,3,42
PREMIER PROPERTY MANAGEMENT AND MA,0,0,0,0,0,0,0,0,0,32,10,42
PROFESSIONAL MORTGAGE SERVS UK LLP,0,0,0,0,0,0,0,0,0,41,1,42
SOUTH CAMBRIDGESHIRE D C,0,0,0,5,3,1,0,0,2,25,6,42
SUFFOLK COASTAL DISTRICT COUNCIL,0,0,0,0,3,0,2,0,0,31,6,42
SYMPHONY HOUSING GROUP LIMITED,0,0,0,0,0,0,0,0,0,21,21,42
TOWN & CITY MANAGEMENT LIMITED,0,0,0,0,0,0,0,0,0,14,28,42
VALE SOLICITORS LTD,2,0,0,11,3,0,0,0,0,21,5,42
VOLKS HEDLEYS,0,4,0,7,2,0,0,0,4,23,2,42
ADRIAN L BROMILEY,0,0,0,3,0,0,0,0,0,33,5,41
ANDREW BODDY SOLICITORS,0,0,0,6,3,0,0,0,0,23,9,41
ANDREW CRAIG LIMITED,0,0,0,0,0,0,0,0,0,34,7,41
AR & QS HOLDINGS LIMITED,0,0,0,0,0,0,0,0,0,38,3,41
BAKER TILLY UK HOLDINGS LIMITED,0,0,0,0,0,0,0,0,0,8,33,41
BDO LLP,0,0,0,0,0,0,0,0,0,41,0,41
BEHAN PARTNERSHIP LLP,0,0,0,0,0,0,0,0,0,41,0,41
BRM LEGAL,0,2,0,10,6,0,0,0,0,15,8,41
BROADBENTS,2,0,1,8,5,0,0,0,1,21,3,41
CAPITA BUSINESS SERVICES LTD,0,0,0,0,0,0,0,0,0,41,0,41
DAVID COWAN SOLICITORS,0,0,0,5,11,0,0,0,0,19,6,41
DUFF & PHELPS LTD,0,0,0,0,0,0,0,0,0,36,5,41
EBBSFLEET DEVELOPMENT CORPORATION,0,0,0,0,0,0,0,0,0,41,0,41
ELM (LEGAL SERVICES) LTD,0,0,0,41,0,0,0,0,0,0,0,41
FIFIELD GLYN LIMITED,0,0,0,0,0,0,0,0,0,22,19,41
FOREMAN HOMES LTD,0,0,0,0,0,0,0,0,0,37,4,41
GAZPROM MKTING & TRDING RETAIL LTD,0,0,0,0,0,0,0,0,0,40,1,41
GEOFFREY FORRESTER & CO,0,0,2,9,7,1,2,0,0,14,6,41
GEOFFREY MILNE SOLICITORS,1,0,0,14,4,0,0,0,0,14,8,41
GLASSBROOKS LTD,1,0,1,5,2,0,1,0,1,26,4,41
GURNEY-CHAMPION & CO,0,4,0,17,4,0,1,0,0,11,4,41
HANCOCK QUINS,2,2,0,18,0,0,0,0,0,14,5,41
HILL & COMPANY,0,1,1,7,5,0,0,0,1,17,9,41
HOUSING & CARE 21,0,0,0,0,24,0,0,0,0,14,3,41
HUNTERS,1,0,0,9,4,0,1,0,1,17,8,41
IMPERIAL LAW LIMITED,0,0,0,7,9,0,0,0,0,17,8,41
INVESTEC BANK PLC,0,0,0,0,0,0,0,0,0,40,1,41
